MCC,MWT Cat Mapping,sub_category,Master Category,Citi Bank Category
1159,not provided,Others,Transfer out,Agricultural Services
1160,not provided,Others,Transfer out,Agricultural Services
1161,not provided,Others,Transfer out,Agricultural Services
1162,not provided,Others,Transfer out,Agricultural Services
1163,not provided,Others,Transfer out,Agricultural Services
1164,not provided,Others,Transfer out,Agricultural Services
1165,not provided,Others,Transfer out,Agricultural Services
1166,not provided,Others,Transfer out,Agricultural Services
1167,not provided,Others,Transfer out,Agricultural Services
1168,not provided,Others,Transfer out,Agricultural Services
1169,not provided,Others,Transfer out,Agricultural Services
1170,not provided,Others,Transfer out,Agricultural Services
1171,not provided,Others,Transfer out,Agricultural Services
1172,not provided,Others,Transfer out,Agricultural Services
1173,not provided,Others,Transfer out,Agricultural Services
1174,not provided,Others,Transfer out,Agricultural Services
1175,not provided,Others,Transfer out,Agricultural Services
1176,not provided,Others,Transfer out,Agricultural Services
1177,not provided,Others,Transfer out,Agricultural Services
1178,not provided,Others,Transfer out,Agricultural Services
1179,not provided,Others,Transfer out,Agricultural Services
1180,not provided,Others,Transfer out,Agricultural Services
1181,not provided,Others,Transfer out,Agricultural Services
1182,not provided,Others,Transfer out,Agricultural Services
1183,not provided,Others,Transfer out,Agricultural Services
1184,not provided,Others,Transfer out,Agricultural Services
1185,not provided,Others,Transfer out,Agricultural Services
1186,not provided,Others,Transfer out,Agricultural Services
1187,not provided,Others,Transfer out,Agricultural Services
1188,not provided,Others,Transfer out,Agricultural Services
1189,not provided,Others,Transfer out,Agricultural Services
1190,not provided,Others,Transfer out,Agricultural Services
1191,not provided,Others,Transfer out,Agricultural Services
1192,not provided,Others,Transfer out,Agricultural Services
1193,not provided,Others,Transfer out,Agricultural Services
1194,not provided,Others,Transfer out,Agricultural Services
1195,not provided,Others,Transfer out,Agricultural Services
1196,not provided,Others,Transfer out,Agricultural Services
1197,not provided,Others,Transfer out,Agricultural Services
1198,not provided,Others,Transfer out,Agricultural Services
1199,not provided,Others,Transfer out,Agricultural Services
1200,not provided,Others,Transfer out,Agricultural Services
1201,not provided,Others,Transfer out,Agricultural Services
1202,not provided,Others,Transfer out,Agricultural Services
1203,not provided,Others,Transfer out,Agricultural Services
1204,not provided,Others,Transfer out,Agricultural Services
1205,not provided,Others,Transfer out,Agricultural Services
1206,not provided,Others,Transfer out,Agricultural Services
1207,not provided,Others,Transfer out,Agricultural Services
1208,not provided,Others,Transfer out,Agricultural Services
1209,not provided,Others,Transfer out,Agricultural Services
1210,not provided,Others,Transfer out,Agricultural Services
1211,not provided,Others,Transfer out,Agricultural Services
1212,not provided,Others,Transfer out,Agricultural Services
1213,not provided,Others,Transfer out,Agricultural Services
1214,not provided,Others,Transfer out,Agricultural Services
1215,not provided,Others,Transfer out,Agricultural Services
1216,not provided,Others,Transfer out,Agricultural Services
1217,not provided,Others,Transfer out,Agricultural Services
1218,not provided,Others,Transfer out,Agricultural Services
1219,not provided,Others,Transfer out,Agricultural Services
1220,not provided,Others,Transfer out,Agricultural Services
1221,not provided,Others,Transfer out,Agricultural Services
1222,not provided,Others,Transfer out,Agricultural Services
1223,not provided,Others,Transfer out,Agricultural Services
1224,not provided,Others,Transfer out,Agricultural Services
1225,not provided,Others,Transfer out,Agricultural Services
1226,not provided,Others,Transfer out,Agricultural Services
1227,not provided,Others,Transfer out,Agricultural Services
1228,not provided,Others,Transfer out,Agricultural Services
1229,not provided,Others,Transfer out,Agricultural Services
1230,not provided,Others,Transfer out,Agricultural Services
1231,not provided,Others,Transfer out,Agricultural Services
1232,not provided,Others,Transfer out,Agricultural Services
1233,not provided,Others,Transfer out,Agricultural Services
1234,not provided,Others,Transfer out,Agricultural Services
1235,not provided,Others,Transfer out,Agricultural Services
1236,not provided,Others,Transfer out,Agricultural Services
1237,not provided,Others,Transfer out,Agricultural Services
1238,not provided,Others,Transfer out,Agricultural Services
1239,not provided,Others,Transfer out,Agricultural Services
1240,not provided,Others,Transfer out,Agricultural Services
1241,not provided,Others,Transfer out,Agricultural Services
1242,not provided,Others,Transfer out,Agricultural Services
1243,not provided,Others,Transfer out,Agricultural Services
1244,not provided,Others,Transfer out,Agricultural Services
1245,not provided,Others,Transfer out,Agricultural Services
1246,not provided,Others,Transfer out,Agricultural Services
1247,not provided,Others,Transfer out,Agricultural Services
1248,not provided,Others,Transfer out,Agricultural Services
1249,not provided,Others,Transfer out,Agricultural Services
1250,not provided,Others,Transfer out,Agricultural Services
1251,not provided,Others,Transfer out,Agricultural Services
1252,not provided,Others,Transfer out,Agricultural Services
1253,not provided,Others,Transfer out,Agricultural Services
1254,not provided,Others,Transfer out,Agricultural Services
1255,not provided,Others,Transfer out,Agricultural Services
1256,not provided,Others,Transfer out,Agricultural Services
1257,not provided,Others,Transfer out,Agricultural Services
1258,not provided,Others,Transfer out,Agricultural Services
1259,not provided,Others,Transfer out,Agricultural Services
1260,not provided,Others,Transfer out,Agricultural Services
1261,not provided,Others,Transfer out,Agricultural Services
1262,not provided,Others,Transfer out,Agricultural Services
1263,not provided,Others,Transfer out,Agricultural Services
1264,not provided,Others,Transfer out,Agricultural Services
1265,not provided,Others,Transfer out,Agricultural Services
1266,not provided,Others,Transfer out,Agricultural Services
1267,not provided,Others,Transfer out,Agricultural Services
1268,not provided,Others,Transfer out,Agricultural Services
1269,not provided,Others,Transfer out,Agricultural Services
1270,not provided,Others,Transfer out,Agricultural Services
1271,not provided,Others,Transfer out,Agricultural Services
1272,not provided,Others,Transfer out,Agricultural Services
1273,not provided,Others,Transfer out,Agricultural Services
1274,not provided,Others,Transfer out,Agricultural Services
1275,not provided,Others,Transfer out,Agricultural Services
1276,not provided,Others,Transfer out,Agricultural Services
1277,not provided,Others,Transfer out,Agricultural Services
1278,not provided,Others,Transfer out,Agricultural Services
1279,not provided,Others,Transfer out,Agricultural Services
1280,not provided,Others,Transfer out,Agricultural Services
1281,not provided,Others,Transfer out,Agricultural Services
1282,not provided,Others,Transfer out,Agricultural Services
1283,not provided,Others,Transfer out,Agricultural Services
1284,not provided,Others,Transfer out,Agricultural Services
1285,not provided,Others,Transfer out,Agricultural Services
1286,not provided,Others,Transfer out,Agricultural Services
1287,not provided,Others,Transfer out,Agricultural Services
1288,not provided,Others,Transfer out,Agricultural Services
1289,not provided,Others,Transfer out,Agricultural Services
1290,not provided,Others,Transfer out,Agricultural Services
1291,not provided,Others,Transfer out,Agricultural Services
1292,not provided,Others,Transfer out,Agricultural Services
1293,not provided,Others,Transfer out,Agricultural Services
1294,not provided,Others,Transfer out,Agricultural Services
1295,not provided,Others,Transfer out,Agricultural Services
1296,not provided,Others,Transfer out,Agricultural Services
1297,not provided,Others,Transfer out,Agricultural Services
1298,not provided,Others,Transfer out,Agricultural Services
1299,not provided,Others,Transfer out,Agricultural Services
1300,not provided,Others,Transfer out,Agricultural Services
1301,not provided,Others,Transfer out,Agricultural Services
1302,not provided,Others,Transfer out,Agricultural Services
1303,not provided,Others,Transfer out,Agricultural Services
1304,not provided,Others,Transfer out,Agricultural Services
1305,not provided,Others,Transfer out,Agricultural Services
1306,not provided,Others,Transfer out,Agricultural Services
1307,not provided,Others,Transfer out,Agricultural Services
1308,not provided,Others,Transfer out,Agricultural Services
1309,not provided,Others,Transfer out,Agricultural Services
1310,not provided,Others,Transfer out,Agricultural Services
1311,not provided,Others,Transfer out,Agricultural Services
1312,not provided,Others,Transfer out,Agricultural Services
1313,not provided,Others,Transfer out,Agricultural Services
1314,not provided,Others,Transfer out,Agricultural Services
1315,not provided,Others,Transfer out,Agricultural Services
1316,not provided,Others,Transfer out,Agricultural Services
1317,not provided,Others,Transfer out,Agricultural Services
1318,not provided,Others,Transfer out,Agricultural Services
1319,not provided,Others,Transfer out,Agricultural Services
1320,not provided,Others,Transfer out,Agricultural Services
1321,not provided,Others,Transfer out,Agricultural Services
1322,not provided,Others,Transfer out,Agricultural Services
1323,not provided,Others,Transfer out,Agricultural Services
1324,not provided,Others,Transfer out,Agricultural Services
1325,not provided,Others,Transfer out,Agricultural Services
1326,not provided,Others,Transfer out,Agricultural Services
1327,not provided,Others,Transfer out,Agricultural Services
1328,not provided,Others,Transfer out,Agricultural Services
1329,not provided,Others,Transfer out,Agricultural Services
1330,not provided,Others,Transfer out,Agricultural Services
1331,not provided,Others,Transfer out,Agricultural Services
1332,not provided,Others,Transfer out,Agricultural Services
1333,not provided,Others,Transfer out,Agricultural Services
1334,not provided,Others,Transfer out,Agricultural Services
1335,not provided,Others,Transfer out,Agricultural Services
1336,not provided,Others,Transfer out,Agricultural Services
1337,not provided,Others,Transfer out,Agricultural Services
1338,not provided,Others,Transfer out,Agricultural Services
1339,not provided,Others,Transfer out,Agricultural Services
1340,not provided,Others,Transfer out,Agricultural Services
1341,not provided,Others,Transfer out,Agricultural Services
1342,not provided,Others,Transfer out,Agricultural Services
1343,not provided,Others,Transfer out,Agricultural Services
1344,not provided,Others,Transfer out,Agricultural Services
1345,not provided,Others,Transfer out,Agricultural Services
1346,not provided,Others,Transfer out,Agricultural Services
1347,not provided,Others,Transfer out,Agricultural Services
1348,not provided,Others,Transfer out,Agricultural Services
1349,not provided,Others,Transfer out,Agricultural Services
1350,not provided,Others,Transfer out,Agricultural Services
1351,not provided,Others,Transfer out,Agricultural Services
1352,not provided,Others,Transfer out,Agricultural Services
1353,not provided,Others,Transfer out,Agricultural Services
1354,not provided,Others,Transfer out,Agricultural Services
1355,not provided,Others,Transfer out,Agricultural Services
1356,not provided,Others,Transfer out,Agricultural Services
1357,not provided,Others,Transfer out,Agricultural Services
1358,not provided,Others,Transfer out,Agricultural Services
1359,not provided,Others,Transfer out,Agricultural Services
1360,not provided,Others,Transfer out,Agricultural Services
1361,not provided,Others,Transfer out,Agricultural Services
1362,not provided,Others,Transfer out,Agricultural Services
1363,not provided,Others,Transfer out,Agricultural Services
1364,not provided,Others,Transfer out,Agricultural Services
1365,not provided,Others,Transfer out,Agricultural Services
1366,not provided,Others,Transfer out,Agricultural Services
1367,not provided,Others,Transfer out,Agricultural Services
1368,not provided,Others,Transfer out,Agricultural Services
1369,not provided,Others,Transfer out,Agricultural Services
1370,not provided,Others,Transfer out,Agricultural Services
1371,not provided,Others,Transfer out,Agricultural Services
1372,not provided,Others,Transfer out,Agricultural Services
1373,not provided,Others,Transfer out,Agricultural Services
1374,not provided,Others,Transfer out,Agricultural Services
1375,not provided,Others,Transfer out,Agricultural Services
1376,not provided,Others,Transfer out,Agricultural Services
1377,not provided,Others,Transfer out,Agricultural Services
1378,not provided,Others,Transfer out,Agricultural Services
1379,not provided,Others,Transfer out,Agricultural Services
1380,not provided,Others,Transfer out,Agricultural Services
1381,not provided,Others,Transfer out,Agricultural Services
1382,not provided,Others,Transfer out,Agricultural Services
1383,not provided,Others,Transfer out,Agricultural Services
1384,not provided,Others,Transfer out,Agricultural Services
1385,not provided,Others,Transfer out,Agricultural Services
1386,not provided,Others,Transfer out,Agricultural Services
1387,not provided,Others,Transfer out,Agricultural Services
1388,not provided,Others,Transfer out,Agricultural Services
1389,not provided,Others,Transfer out,Agricultural Services
1390,not provided,Others,Transfer out,Agricultural Services
1391,not provided,Others,Transfer out,Agricultural Services
1392,not provided,Others,Transfer out,Agricultural Services
1393,not provided,Others,Transfer out,Agricultural Services
1394,not provided,Others,Transfer out,Agricultural Services
1395,not provided,Others,Transfer out,Agricultural Services
1396,not provided,Others,Transfer out,Agricultural Services
1397,not provided,Others,Transfer out,Agricultural Services
1398,not provided,Others,Transfer out,Agricultural Services
1399,not provided,Others,Transfer out,Agricultural Services
1400,not provided,Others,Transfer out,Agricultural Services
1401,not provided,Others,Transfer out,Agricultural Services
1402,not provided,Others,Transfer out,Agricultural Services
1403,not provided,Others,Transfer out,Agricultural Services
1404,not provided,Others,Transfer out,Agricultural Services
1405,not provided,Others,Transfer out,Agricultural Services
1406,not provided,Others,Transfer out,Agricultural Services
1407,not provided,Others,Transfer out,Agricultural Services
1408,not provided,Others,Transfer out,Agricultural Services
1409,not provided,Others,Transfer out,Agricultural Services
1410,not provided,Others,Transfer out,Agricultural Services
1411,not provided,Others,Transfer out,Agricultural Services
1412,not provided,Others,Transfer out,Agricultural Services
1413,not provided,Others,Transfer out,Agricultural Services
1414,not provided,Others,Transfer out,Agricultural Services
1415,not provided,Others,Transfer out,Agricultural Services
1416,not provided,Others,Transfer out,Agricultural Services
1417,not provided,Others,Transfer out,Agricultural Services
1418,not provided,Others,Transfer out,Agricultural Services
1419,not provided,Others,Transfer out,Agricultural Services
1420,not provided,Others,Transfer out,Agricultural Services
1421,not provided,Others,Transfer out,Agricultural Services
1422,not provided,Others,Transfer out,Agricultural Services
1423,not provided,Others,Transfer out,Agricultural Services
1424,not provided,Others,Transfer out,Agricultural Services
1425,not provided,Others,Transfer out,Agricultural Services
1426,not provided,Others,Transfer out,Agricultural Services
1427,not provided,Others,Transfer out,Agricultural Services
1428,not provided,Others,Transfer out,Agricultural Services
1429,not provided,Others,Transfer out,Agricultural Services
1430,not provided,Others,Transfer out,Agricultural Services
1431,not provided,Others,Transfer out,Agricultural Services
1432,not provided,Others,Transfer out,Agricultural Services
1433,not provided,Others,Transfer out,Agricultural Services
1434,not provided,Others,Transfer out,Agricultural Services
1435,not provided,Others,Transfer out,Agricultural Services
1436,not provided,Others,Transfer out,Agricultural Services
1437,not provided,Others,Transfer out,Agricultural Services
1438,not provided,Others,Transfer out,Agricultural Services
1439,not provided,Others,Transfer out,Agricultural Services
1440,not provided,Others,Transfer out,Agricultural Services
1441,not provided,Others,Transfer out,Agricultural Services
1442,not provided,Others,Transfer out,Agricultural Services
1443,not provided,Others,Transfer out,Agricultural Services
1444,not provided,Others,Transfer out,Agricultural Services
1445,not provided,Others,Transfer out,Agricultural Services
1446,not provided,Others,Transfer out,Agricultural Services
1447,not provided,Others,Transfer out,Agricultural Services
1448,not provided,Others,Transfer out,Agricultural Services
1449,not provided,Others,Transfer out,Agricultural Services
1450,not provided,Others,Transfer out,Agricultural Services
1451,not provided,Others,Transfer out,Agricultural Services
1452,not provided,Others,Transfer out,Agricultural Services
1453,not provided,Others,Transfer out,Agricultural Services
1454,not provided,Others,Transfer out,Agricultural Services
1455,not provided,Others,Transfer out,Agricultural Services
1456,not provided,Others,Transfer out,Agricultural Services
1457,not provided,Others,Transfer out,Agricultural Services
1458,not provided,Others,Transfer out,Agricultural Services
1459,not provided,Others,Transfer out,Agricultural Services
1460,not provided,Others,Transfer out,Agricultural Services
1461,not provided,Others,Transfer out,Agricultural Services
1462,not provided,Others,Transfer out,Agricultural Services
1463,not provided,Others,Transfer out,Agricultural Services
1464,not provided,Others,Transfer out,Agricultural Services
1465,not provided,Others,Transfer out,Agricultural Services
1466,not provided,Others,Transfer out,Agricultural Services
1467,not provided,Others,Transfer out,Agricultural Services
1468,not provided,Others,Transfer out,Agricultural Services
1469,not provided,Others,Transfer out,Agricultural Services
1470,not provided,Others,Transfer out,Agricultural Services
1471,not provided,Others,Transfer out,Agricultural Services
1472,not provided,Others,Transfer out,Agricultural Services
1473,not provided,Others,Transfer out,Agricultural Services
1474,not provided,Others,Transfer out,Agricultural Services
1475,not provided,Others,Transfer out,Agricultural Services
1476,not provided,Others,Transfer out,Agricultural Services
1477,not provided,Others,Transfer out,Agricultural Services
1478,not provided,Others,Transfer out,Agricultural Services
1479,not provided,Others,Transfer out,Agricultural Services
1480,not provided,Others,Transfer out,Agricultural Services
1481,not provided,Others,Transfer out,Agricultural Services
1482,not provided,Others,Transfer out,Agricultural Services
1483,not provided,Others,Transfer out,Agricultural Services
1484,not provided,Others,Transfer out,Agricultural Services
1485,not provided,Others,Transfer out,Agricultural Services
1486,not provided,Others,Transfer out,Agricultural Services
1487,not provided,Others,Transfer out,Agricultural Services
1488,not provided,Others,Transfer out,Agricultural Services
1489,not provided,Others,Transfer out,Agricultural Services
1490,not provided,Others,Transfer out,Agricultural Services
1491,not provided,Others,Transfer out,Agricultural Services
1492,not provided,Others,Transfer out,Agricultural Services
1493,not provided,Others,Transfer out,Agricultural Services
1494,not provided,Others,Transfer out,Agricultural Services
1495,not provided,Others,Transfer out,Agricultural Services
1496,not provided,Others,Transfer out,Agricultural Services
1497,not provided,Others,Transfer out,Agricultural Services
1498,not provided,Others,Transfer out,Agricultural Services
1499,not provided,Others,Transfer out,Agricultural Services
1500,not provided,Others,Transfer out,Contracted Services
1501,not provided,Others,Transfer out,Contracted Services
1502,not provided,Others,Transfer out,Contracted Services
1503,not provided,Others,Transfer out,Contracted Services
1504,not provided,Others,Transfer out,Contracted Services
1505,not provided,Others,Transfer out,Contracted Services
1506,not provided,Others,Transfer out,Contracted Services
1507,not provided,Others,Transfer out,Contracted Services
1508,not provided,Others,Transfer out,Contracted Services
1509,not provided,Others,Transfer out,Contracted Services
1510,not provided,Others,Transfer out,Contracted Services
1511,not provided,Others,Transfer out,Contracted Services
1512,not provided,Others,Transfer out,Contracted Services
1513,not provided,Others,Transfer out,Contracted Services
1514,not provided,Others,Transfer out,Contracted Services
1515,not provided,Others,Transfer out,Contracted Services
1516,not provided,Others,Transfer out,Contracted Services
1517,not provided,Others,Transfer out,Contracted Services
1518,not provided,Others,Transfer out,Contracted Services
1519,not provided,Others,Transfer out,Contracted Services
1520,GENERAL CONTRACTORS - RESIDENTIAL BUILDINGS,Masonry,Transfer out,Contracted Services
1521,not provided,Others,Transfer out,Contracted Services
1522,not provided,Others,Transfer out,Contracted Services
1523,not provided,Others,Transfer out,Contracted Services
1524,not provided,Others,Transfer out,Contracted Services
1525,not provided,Others,Transfer out,Contracted Services
1526,not provided,Others,Transfer out,Contracted Services
1527,not provided,Others,Transfer out,Contracted Services
1528,not provided,Others,Transfer out,Contracted Services
1529,not provided,Others,Transfer out,Contracted Services
1530,not provided,Others,Transfer out,Contracted Services
1531,not provided,Others,Transfer out,Contracted Services
1532,not provided,Others,Transfer out,Contracted Services
1533,not provided,Others,Transfer out,Contracted Services
1534,not provided,Others,Transfer out,Contracted Services
1535,not provided,Others,Transfer out,Contracted Services
1536,not provided,Others,Transfer out,Contracted Services
1537,not provided,Others,Transfer out,Contracted Services
1538,not provided,Others,Transfer out,Contracted Services
1539,not provided,Others,Transfer out,Contracted Services
1540,not provided,Others,Transfer out,Contracted Services
1541,not provided,Others,Transfer out,Contracted Services
1542,not provided,Others,Transfer out,Contracted Services
1543,not provided,Others,Transfer out,Contracted Services
1544,not provided,Others,Transfer out,Contracted Services
1545,not provided,Others,Transfer out,Contracted Services
1546,not provided,Others,Transfer out,Contracted Services
1547,not provided,Others,Transfer out,Contracted Services
1548,not provided,Others,Transfer out,Contracted Services
1549,not provided,Others,Transfer out,Contracted Services
1550,not provided,Others,Transfer out,Contracted Services
1551,not provided,Others,Transfer out,Contracted Services
1552,not provided,Others,Transfer out,Contracted Services
1553,not provided,Others,Transfer out,Contracted Services
1554,not provided,Others,Transfer out,Contracted Services
1555,not provided,Others,Transfer out,Contracted Services
1556,not provided,Others,Transfer out,Contracted Services
1557,not provided,Others,Transfer out,Contracted Services
1558,not provided,Others,Transfer out,Contracted Services
1559,not provided,Others,Transfer out,Contracted Services
1560,not provided,Others,Transfer out,Contracted Services
1561,not provided,Others,Transfer out,Contracted Services
1562,not provided,Others,Transfer out,Contracted Services
1563,not provided,Others,Transfer out,Contracted Services
1564,not provided,Others,Transfer out,Contracted Services
1565,not provided,Others,Transfer out,Contracted Services
1566,not provided,Others,Transfer out,Contracted Services
1567,not provided,Others,Transfer out,Contracted Services
1568,not provided,Others,Transfer out,Contracted Services
1569,not provided,Others,Transfer out,Contracted Services
1570,not provided,Others,Transfer out,Contracted Services
1571,not provided,Others,Transfer out,Contracted Services
1572,not provided,Others,Transfer out,Contracted Services
1573,not provided,Others,Transfer out,Contracted Services
1574,not provided,Others,Transfer out,Contracted Services
1575,not provided,Others,Transfer out,Contracted Services
1576,not provided,Others,Transfer out,Contracted Services
1577,not provided,Others,Transfer out,Contracted Services
1578,not provided,Others,Transfer out,Contracted Services
1579,not provided,Others,Transfer out,Contracted Services
1580,not provided,Others,Transfer out,Contracted Services
1581,not provided,Others,Transfer out,Contracted Services
1582,not provided,Others,Transfer out,Contracted Services
1583,not provided,Others,Transfer out,Contracted Services
1584,not provided,Others,Transfer out,Contracted Services
1585,not provided,Others,Transfer out,Contracted Services
1586,not provided,Others,Transfer out,Contracted Services
1587,not provided,Others,Transfer out,Contracted Services
1588,not provided,Others,Transfer out,Contracted Services
1589,not provided,Others,Transfer out,Contracted Services
1590,not provided,Others,Transfer out,Contracted Services
1591,not provided,Others,Transfer out,Contracted Services
1592,not provided,Others,Transfer out,Contracted Services
1593,not provided,Others,Transfer out,Contracted Services
1594,not provided,Others,Transfer out,Contracted Services
1595,not provided,Others,Transfer out,Contracted Services
1596,not provided,Others,Transfer out,Contracted Services
1597,not provided,Others,Transfer out,Contracted Services
1598,not provided,Others,Transfer out,Contracted Services
1599,not provided,Others,Transfer out,Contracted Services
1600,not provided,Others,Transfer out,Contracted Services
1601,not provided,Others,Transfer out,Contracted Services
1602,not provided,Others,Transfer out,Contracted Services
1603,not provided,Others,Transfer out,Contracted Services
1604,not provided,Others,Transfer out,Contracted Services
1605,not provided,Others,Transfer out,Contracted Services
1606,not provided,Others,Transfer out,Contracted Services
1607,not provided,Others,Transfer out,Contracted Services
1608,not provided,Others,Transfer out,Contracted Services
1609,not provided,Others,Transfer out,Contracted Services
1610,not provided,Others,Transfer out,Contracted Services
1611,not provided,Others,Transfer out,Contracted Services
1612,not provided,Others,Transfer out,Contracted Services
1613,not provided,Others,Transfer out,Contracted Services
1614,not provided,Others,Transfer out,Contracted Services
1615,not provided,Others,Transfer out,Contracted Services
1616,not provided,Others,Transfer out,Contracted Services
1617,not provided,Others,Transfer out,Contracted Services
1618,not provided,Others,Transfer out,Contracted Services
1619,not provided,Others,Transfer out,Contracted Services
1620,not provided,Others,Transfer out,Contracted Services
1621,not provided,Others,Transfer out,Contracted Services
1622,not provided,Others,Transfer out,Contracted Services
1623,not provided,Others,Transfer out,Contracted Services
1624,not provided,Others,Transfer out,Contracted Services
1625,not provided,Others,Transfer out,Contracted Services
1626,not provided,Others,Transfer out,Contracted Services
1627,not provided,Others,Transfer out,Contracted Services
1628,not provided,Others,Transfer out,Contracted Services
1629,not provided,Others,Transfer out,Contracted Services
1630,not provided,Others,Transfer out,Contracted Services
1631,not provided,Others,Transfer out,Contracted Services
1632,not provided,Others,Transfer out,Contracted Services
1633,not provided,Others,Transfer out,Contracted Services
1634,not provided,Others,Transfer out,Contracted Services
1635,not provided,Others,Transfer out,Contracted Services
1636,not provided,Others,Transfer out,Contracted Services
1637,not provided,Others,Transfer out,Contracted Services
1638,not provided,Others,Transfer out,Contracted Services
1639,not provided,Others,Transfer out,Contracted Services
1640,not provided,Others,Transfer out,Contracted Services
1641,not provided,Others,Transfer out,Contracted Services
1642,not provided,Others,Transfer out,Contracted Services
1643,not provided,Others,Transfer out,Contracted Services
1644,not provided,Others,Transfer out,Contracted Services
1645,not provided,Others,Transfer out,Contracted Services
1646,not provided,Others,Transfer out,Contracted Services
1647,not provided,Others,Transfer out,Contracted Services
1648,not provided,Others,Transfer out,Contracted Services
1649,not provided,Others,Transfer out,Contracted Services
1650,not provided,Others,Transfer out,Contracted Services
1651,not provided,Others,Transfer out,Contracted Services
1652,not provided,Others,Transfer out,Contracted Services
1653,not provided,Others,Transfer out,Contracted Services
1654,not provided,Others,Transfer out,Contracted Services
1655,not provided,Others,Transfer out,Contracted Services
1656,not provided,Others,Transfer out,Contracted Services
1657,not provided,Others,Transfer out,Contracted Services
1658,not provided,Others,Transfer out,Contracted Services
1659,not provided,Others,Transfer out,Contracted Services
1660,not provided,Others,Transfer out,Contracted Services
1661,not provided,Others,Transfer out,Contracted Services
1662,not provided,Others,Transfer out,Contracted Services
1663,not provided,Others,Transfer out,Contracted Services
1664,not provided,Others,Transfer out,Contracted Services
1665,not provided,Others,Transfer out,Contracted Services
1666,not provided,Others,Transfer out,Contracted Services
1667,not provided,Others,Transfer out,Contracted Services
1668,not provided,Others,Transfer out,Contracted Services
1669,not provided,Others,Transfer out,Contracted Services
1670,not provided,Others,Transfer out,Contracted Services
1671,not provided,Others,Transfer out,Contracted Services
1672,not provided,Others,Transfer out,Contracted Services
1673,not provided,Others,Transfer out,Contracted Services
1674,not provided,Others,Transfer out,Contracted Services
1675,not provided,Others,Transfer out,Contracted Services
1676,not provided,Others,Transfer out,Contracted Services
1677,not provided,Others,Transfer out,Contracted Services
1678,not provided,Others,Transfer out,Contracted Services
1679,not provided,Others,Transfer out,Contracted Services
1680,not provided,Others,Transfer out,Contracted Services
1681,not provided,Others,Transfer out,Contracted Services
1682,not provided,Others,Transfer out,Contracted Services
1683,not provided,Others,Transfer out,Contracted Services
1684,not provided,Others,Transfer out,Contracted Services
1685,not provided,Others,Transfer out,Contracted Services
1686,not provided,Others,Transfer out,Contracted Services
1687,not provided,Others,Transfer out,Contracted Services
1688,not provided,Others,Transfer out,Contracted Services
1689,not provided,Others,Transfer out,Contracted Services
1690,not provided,Others,Transfer out,Contracted Services
1691,not provided,Others,Transfer out,Contracted Services
1692,not provided,Others,Transfer out,Contracted Services
1693,not provided,Others,Transfer out,Contracted Services
1694,not provided,Others,Transfer out,Contracted Services
1695,not provided,Others,Transfer out,Contracted Services
1696,not provided,Others,Transfer out,Contracted Services
1697,not provided,Others,Transfer out,Contracted Services
1698,not provided,Others,Transfer out,Contracted Services
1699,not provided,Others,Transfer out,Contracted Services
1700,not provided,Others,Transfer out,Contracted Services
1701,not provided,Others,Transfer out,Contracted Services
1702,not provided,Others,Transfer out,Contracted Services
1703,not provided,Others,Transfer out,Contracted Services
1704,not provided,Others,Transfer out,Contracted Services
1705,not provided,Others,Transfer out,Contracted Services
1706,not provided,Others,Transfer out,Contracted Services
1707,not provided,Others,Transfer out,Contracted Services
1708,not provided,Others,Transfer out,Contracted Services
1709,not provided,Others,Transfer out,Contracted Services
1710,not provided,Others,Transfer out,Contracted Services
1711,"A/C, HEATING OR PLUMBING CONTRACTORS - SALES & INSTALLATION",Electricity,Transfer out,Contracted Services
1712,not provided,Others,Transfer out,Contracted Services
1713,not provided,Others,Transfer out,Contracted Services
1714,not provided,Others,Transfer out,Contracted Services
1715,not provided,Others,Transfer out,Contracted Services
1716,not provided,Others,Transfer out,Contracted Services
1717,not provided,Others,Transfer out,Contracted Services
1718,not provided,Others,Transfer out,Contracted Services
1719,not provided,Others,Transfer out,Contracted Services
1720,not provided,Others,Transfer out,Contracted Services
1721,not provided,Others,Transfer out,Contracted Services
1722,not provided,Others,Transfer out,Contracted Services
1723,not provided,Others,Transfer out,Contracted Services
1724,not provided,Others,Transfer out,Contracted Services
1725,not provided,Others,Transfer out,Contracted Services
1726,not provided,Others,Transfer out,Contracted Services
1727,not provided,Others,Transfer out,Contracted Services
1728,not provided,Others,Transfer out,Contracted Services
1729,not provided,Others,Transfer out,Contracted Services
1730,not provided,Others,Transfer out,Contracted Services
1731,ELECTRICAL CONTRACTORS,Electricity,Transfer out,Contracted Services
1732,not provided,Others,Transfer out,Contracted Services
1733,not provided,Others,Transfer out,Contracted Services
1734,not provided,Others,Transfer out,Contracted Services
1735,not provided,Others,Transfer out,Contracted Services
1736,not provided,Others,Transfer out,Contracted Services
1737,not provided,Others,Transfer out,Contracted Services
1738,not provided,Others,Transfer out,Contracted Services
1739,not provided,Others,Transfer out,Contracted Services
1740,"MASONRY, STONEWORK, TILE SETTING, PLASTERING",Masonry,Transfer out,Contracted Services
1741,not provided,Others,Transfer out,Contracted Services
1742,not provided,Others,Transfer out,Contracted Services
1743,not provided,Others,Transfer out,Contracted Services
1744,not provided,Others,Transfer out,Contracted Services
1745,not provided,Others,Transfer out,Contracted Services
