MCC,MWT Cat Mapping,sub_category,Master Category,Citi Bank Category
138,not provided,Others,Transfer out,Agricultural Services
139,not provided,Others,Transfer out,Agricultural Services
140,not provided,Others,Transfer out,Agricultural Services
141,not provided,Others,Transfer out,Agricultural Services
142,not provided,Others,Transfer out,Agricultural Services
143,not provided,Others,Transfer out,Agricultural Services
144,not provided,Others,Transfer out,Agricultural Services
145,not provided,Others,Transfer out,Agricultural Services
146,not provided,Others,Transfer out,Agricultural Services
147,not provided,Others,Transfer out,Agricultural Services
148,not provided,Others,Transfer out,Agricultural Services
149,not provided,Others,Transfer out,Agricultural Services
150,not provided,Others,Transfer out,Agricultural Services
151,not provided,Others,Transfer out,Agricultural Services
152,not provided,Others,Transfer out,Agricultural Services
153,not provided,Others,Transfer out,Agricultural Services
154,not provided,Others,Transfer out,Agricultural Services
155,not provided,Others,Transfer out,Agricultural Services
156,not provided,Others,Transfer out,Agricultural Services
157,not provided,Others,Transfer out,Agricultural Services
158,not provided,Others,Transfer out,Agricultural Services
159,not provided,Others,Transfer out,Agricultural Services
160,not provided,Others,Transfer out,Agricultural Services
161,not provided,Others,Transfer out,Agricultural Services
162,not provided,Others,Transfer out,Agricultural Services
163,not provided,Others,Transfer out,Agricultural Services
164,not provided,Others,Transfer out,Agricultural Services
165,not provided,Others,Transfer out,Agricultural Services
166,not provided,Others,Transfer out,Agricultural Services
167,not provided,Others,Transfer out,Agricultural Services
168,not provided,Others,Transfer out,Agricultural Services
169,not provided,Others,Transfer out,Agricultural Services
170,not provided,Others,Transfer out,Agricultural Services
171,not provided,Others,Transfer out,Agricultural Services
172,not provided,Others,Transfer out,Agricultural Services
173,not provided,Others,Transfer out,Agricultural Services
174,not provided,Others,Transfer out,Agricultural Services
175,not provided,Others,Transfer out,Agricultural Services
176,not provided,Others,Transfer out,Agricultural Services
177,not provided,Others,Transfer out,Agricultural Services
178,not provided,Others,Transfer out,Agricultural Services
179,not provided,Others,Transfer out,Agricultural Services
180,not provided,Others,Transfer out,Agricultural Services
181,not provided,Others,Transfer out,Agricultural Services
182,not provided,Others,Transfer out,Agricultural Services
183,not provided,Others,Transfer out,Agricultural Services
184,not provided,Others,Transfer out,Agricultural Services
185,not provided,Others,Transfer out,Agricultural Services
186,not provided,Others,Transfer out,Agricultural Services
187,not provided,Others,Transfer out,Agricultural Services
188,not provided,Others,Transfer out,Agricultural Services
189,not provided,Others,Transfer out,Agricultural Services
190,not provided,Others,Transfer out,Agricultural Services
191,not provided,Others,Transfer out,Agricultural Services
192,not provided,Others,Transfer out,Agricultural Services
193,not provided,Others,Transfer out,Agricultural Services
194,not provided,Others,Transfer out,Agricultural Services
195,not provided,Others,Transfer out,Agricultural Services
196,not provided,Others,Transfer out,Agricultural Services
197,not provided,Others,Transfer out,Agricultural Services
198,not provided,Others,Transfer out,Agricultural Services
199,not provided,Others,Transfer out,Agricultural Services
200,not provided,Others,Transfer out,Agricultural Services
201,not provided,Others,Transfer out,Agricultural Services
202,not provided,Others,Transfer out,Agricultural Services
203,not provided,Others,Transfer out,Agricultural Services
204,not provided,Others,Transfer out,Agricultural Services
205,not provided,Others,Transfer out,Agricultural Services
206,not provided,Others,Transfer out,Agricultural Services
207,not provided,Others,Transfer out,Agricultural Services
208,not provided,Others,Transfer out,Agricultural Services
209,not provided,Others,Transfer out,Agricultural Services
210,not provided,Others,Transfer out,Agricultural Services
211,not provided,Others,Transfer out,Agricultural Services
212,not provided,Others,Transfer out,Agricultural Services
213,not provided,Others,Transfer out,Agricultural Services
214,not provided,Others,Transfer out,Agricultural Services
215,not provided,Others,Transfer out,Agricultural Services
216,not provided,Others,Transfer out,Agricultural Services
217,not provided,Others,Transfer out,Agricultural Services
218,not provided,Others,Transfer out,Agricultural Services
219,not provided,Others,Transfer out,Agricultural Services
220,not provided,Others,Transfer out,Agricultural Services
221,not provided,Others,Transfer out,Agricultural Services
222,not provided,Others,Transfer out,Agricultural Services
223,not provided,Others,Transfer out,Agricultural Services
224,not provided,Others,Transfer out,Agricultural Services
225,not provided,Others,Transfer out,Agricultural Services
226,not provided,Others,Transfer out,Agricultural Services
227,not provided,Others,Transfer out,Agricultural Services
228,not provided,Others,Transfer out,Agricultural Services
229,not provided,Others,Transfer out,Agricultural Services
230,not provided,Others,Transfer out,Agricultural Services
231,not provided,Others,Transfer out,Agricultural Services
232,not provided,Others,Transfer out,Agricultural Services
233,not provided,Others,Transfer out,Agricultural Services
234,not provided,Others,Transfer out,Agricultural Services
235,not provided,Others,Transfer out,Agricultural Services
236,not provided,Others,Transfer out,Agricultural Services
237,not provided,Others,Transfer out,Agricultural Services
238,not provided,Others,Transfer out,Agricultural Services
239,not provided,Others,Transfer out,Agricultural Services
240,not provided,Others,Transfer out,Agricultural Services
241,not provided,Others,Transfer out,Agricultural Services
242,not provided,Others,Transfer out,Agricultural Services
243,not provided,Others,Transfer out,Agricultural Services
244,not provided,Others,Transfer out,Agricultural Services
245,not provided,Others,Transfer out,Agricultural Services
246,not provided,Others,Transfer out,Agricultural Services
247,not provided,Others,Transfer out,Agricultural Services
248,not provided,Others,Transfer out,Agricultural Services
